State,AYUSH_Hospitals,AYUSH_Beds
Andhra Pradesh,8.0,365.0
Arunachal Pradesh,12.0,125.0
Assam,4.0,205.0
Bihar,8.0,950.0
Chhattisgarh,15.0,840.0
Delhi,5.0,600.0
Goa,2.0,150.0
Gujarat,64.0,3258.0
Haryana,11.0,745.0
Himachal Pradesh,34.0,710.0
Jammu & Kashmir,2.0,75.0
Jharkhand,5.0,350.0
Karnataka,213.0,10195.0
Kerala,162.0,4054.0
Madhya Pradesh,23.0,690.0
Maharashtra,71.0,8836.0
Manipur,10.0,0.0
Meghalaya,10.0,100.0
Mizoram,2.0,100.0
Nagaland,2.0,10.0
Odisha,14.0,903.0
Punjab,9.0,208.0
Rajasthan,137.0,1391.0
Sikkim,1.0,10.0
Tamil Nadu,293.0,2381.0
Tripura,4.0,60.0
Uttar Pradesh,2316.0,11461.0
Uttarakhand,405.0,2073.0
West Bengal,22.0,1150.0
Andaman & Nicobar Islands,5.0,90.0
Chandigarh,2.0,80.0
Dadra & Nagar Haveli and Daman & Diu,0.0,0.0
Lakshdweep,0.0,0.0
Puducherry,0.0,0.0
Telangana,20.0,841.0
TOTAL (A),3893.0,53026.0
