State,PHC_Count,PHC_Public,PHC_Private,PHC_Urban,PHC_Rural
Andhra Pradesh,1533.0,1533.0,0.0,378.0,1155.0
Arunachal Pradesh,167.0,167.0,0.0,5.0,162.0
Assam,1668.0,1225.0,443.0,64.0,1604.0
Bihar,2111.0,2111.0,0.0,287.0,1824.0
Chhattisgarh,1103.0,1100.0,3.0,85.0,1018.0
Goa,50.0,31.0,19.0,8.0,42.0
Gujarat,2133.0,1931.0,202.0,486.0,1647.0
Haryana,715.0,715.0,0.0,196.0,519.0
Himachal Pradesh,640.0,640.0,0.0,11.0,629.0
Jammu & Kashmir,749.0,749.0,0.0,61.0,688.0
Jharkhand,426.0,372.0,54.0,58.0,368.0
Karnataka,2649.0,2649.0,0.0,381.0,2268.0
Kerala,958.0,948.0,10.0,87.0,871.0
Madhya Pradesh,1576.0,1574.0,2.0,323.0,1253.0
Maharashtra,2815.0,2775.0,40.0,980.0,1835.0
Manipur,97.0,96.0,1.0,9.0,88.0
Meghalaya,171.0,171.0,0.0,24.0,147.0
Mizoram,76.0,76.0,0.0,8.0,68.0
Nagaland,154.0,144.0,10.0,11.0,143.0
Odisha,1396.0,1396.0,0.0,103.0,1293.0
Punjab,566.0,566.0,0.0,115.0,451.0
Rajasthan,2886.0,2886.0,0.0,408.0,2478.0
Sikkim,28.0,28.0,0.0,1.0,27.0
Tamil Nadu,1976.0,1976.0,0.0,494.0,1482.0
Telangana,893.0,893.0,0.0,287.0,606.0
Tripura,133.0,126.0,7.0,12.0,121.0
Uttar Pradesh,3681.0,3677.0,4.0,660.0,3021.0
Uttarakhand,305.0,305.0,0.0,43.0,262.0
West Bengal,1455.0,1437.0,18.0,519.0,936.0
Delhi,697.0,676.0,21.0,648.0,49.0
Chandigarh,53.0,53.0,0.0,50.0,3.0
Puducherry,41.0,41.0,0.0,16.0,25.0
Dadra & Nagar Haveli and Daman & Diu,5.0,5.0,0.0,2.0,3.0
Andaman & Nicobar Islands,27.0,27.0,0.0,5.0,22.0
Lakshadweep,5.0,5.0,0.0,0.0,5.0
