State,Doctors_Required,Doctors_Sanctioned,Doctors_In_Position,Doctor_Vacancy,Doctor_Shortfall
Andhra Pradesh,1147,1952.0,1644,308.0,
Arunachal Pradesh,143,,122,,21.0
Assam,1014,,1048,,
Bihar,1899,2078.0,1786,292.0,113.0
Chhattisgarh,785,798.0,341,457.0,444.0
Goa,24,48.0,56,,
Gujarat,1392,1769.0,1229,540.0,163.0
Haryana,366,687.0,429,258.0,
Himachal Pradesh,538,636.0,492,144.0,46.0
Jammu & Kashmir,637,1347.0,704,643.0,
Jharkhand,297,569.0,331,238.0,
Karnataka,2359,2359.0,2136,223.0,223.0
Kerala,849,1120.0,1169,,
Madhya Pradesh,1171,1771.0,954,817.0,217.0
Maharashtra,1814,3009.0,2929,80.0,
Manipur,85,238.0,194,44.0,
Meghalaya,109,128.0,112,16.0,
Mizoram,57,152.0,56,96.0,1.0
Nagaland,126,108.0,122,,4.0
Odisha,1280,1285.0,940,345.0,340.0
Punjab,432,593.0,568,25.0,
Rajasthan,2079,2664.0,2382,282.0,
Sikkim,24,,30,,
Tamil Nadu,1362,2927.0,2759,168.0,
Telangana,689,1318.0,966,352.0,
Tripura,93,0.0,156,,
Uttarakhand,257,386.0,215,171.0,42.0
Uttar Pradesh,3621,4509.0,2209,2300.0,1412.0
West Bengal,914,1390.0,918,472.0,
Andaman & Nicobar Islands,22,42.0,34,8.0,
Chandigarh,3,0.0,3,,0.0
Dadra & Nagar Haveli and Daman & Diu,9,15.0,8,7.0,1.0
Delhi,5,21.0,21,0.0,
Lakshadweep,4,8.0,8,0.0,
Puducherry,40,38.0,46,,
