State,PHC_Count,PHC_Public,PHC_Private,PHC_Urban,PHC_Rural,Doctors_Required,Doctors_Sanctioned,Doctors_In_Position,Doctor_Vacancy,Doctor_Shortfall,AYUSH_Hospitals,AYUSH_Beds,Data_Source,Data_Year,Doctor_Vacancy_Rate,Doctor_Shortfall_Rate
Andaman & Nicobar Islands,27.0,27.0,0.0,5.0,22.0,22.0,42.0,34.0,8.0,,5.0,90.0,Government public datasets,2017-2020,0.19047619047619047,
Andhra Pradesh,1533.0,1533.0,0.0,378.0,1155.0,1147.0,1952.0,1644.0,308.0,,8.0,365.0,Government public datasets,2017-2020,0.15778688524590165,
Arunachal Pradesh,167.0,167.0,0.0,5.0,162.0,143.0,,122.0,,21.0,12.0,125.0,Government public datasets,2017-2020,,0.14685314685314685
Assam,1668.0,1225.0,443.0,64.0,1604.0,1014.0,,1048.0,,,4.0,205.0,Government public datasets,2017-2020,,
Bihar,2111.0,2111.0,0.0,287.0,1824.0,1899.0,2078.0,1786.0,292.0,113.0,8.0,950.0,Government public datasets,2017-2020,0.14051973051010588,0.05950500263296472
Chandigarh,53.0,53.0,0.0,50.0,3.0,3.0,0.0,3.0,,0.0,2.0,80.0,Government public datasets,2017-2020,,0.0
Chhattisgarh,1103.0,1100.0,3.0,85.0,1018.0,785.0,798.0,341.0,457.0,444.0,15.0,840.0,Government public datasets,2017-2020,0.5726817042606517,0.5656050955414013
Dadra & Nagar Haveli and Daman & Diu,5.0,5.0,0.0,2.0,3.0,9.0,15.0,8.0,7.0,1.0,0.0,0.0,Government public datasets,2017-2020,0.4666666666666667,0.1111111111111111
Delhi,697.0,676.0,21.0,648.0,49.0,5.0,21.0,21.0,0.0,,5.0,600.0,Government public datasets,2017-2020,0.0,
Goa,50.0,31.0,19.0,8.0,42.0,24.0,48.0,56.0,,,2.0,150.0,Government public datasets,2017-2020,,
Gujarat,2133.0,1931.0,202.0,486.0,1647.0,1392.0,1769.0,1229.0,540.0,163.0,64.0,3258.0,Government public datasets,2017-2020,0.30525720746184287,0.11709770114942529
Haryana,715.0,715.0,0.0,196.0,519.0,366.0,687.0,429.0,258.0,,11.0,745.0,Government public datasets,2017-2020,0.37554585152838427,
Himachal Pradesh,640.0,640.0,0.0,11.0,629.0,538.0,636.0,492.0,144.0,46.0,34.0,710.0,Government public datasets,2017-2020,0.22641509433962265,0.08550185873605948
Jammu & Kashmir,749.0,749.0,0.0,61.0,688.0,637.0,1347.0,704.0,643.0,,2.0,75.0,Government public datasets,2017-2020,0.4773570898292502,
