State,Doctors_Required,Doctors_Sanctioned,Doctors_In_Position,Doctor_Vacancy,Doctor_Shortfall
Andhra Pradesh,1147,2267.0,2045,222.0,
Arunachal Pradesh,143,,125,,18.0
Assam,946,,1376,,
Bihar,1899,2078.0,1786,292.0,113.0
Chhattisgarh,793,793.0,359,434.0,434.0
Goa,25,48.0,56,,
Gujarat,1474,1865.0,1321,544.0,153.0
Haryana,368,551.0,491,60.0,
Himachal Pradesh,576,636.0,622,14.0,
Jammu & Kashmir,637,1347.0,694,653.0,
Jharkhand,298,556.0,340,216.0,
Karnataka,2359,2359.0,2136,223.0,223.0
Kerala,849,1120.0,1169,,
Madhya Pradesh,1171,1771.0,1112,659.0,59.0
Maharashtra,1823,3009.0,2929,80.0,
Manipur,91,238.0,194,44.0,
Meghalaya,108,128.0,130,,
Mizoram,57,152.0,59,93.0,
Nagaland,126,108.0,118,,8.0
Odisha,1288,1326.0,917,409.0,371.0
Punjab,432,593.0,480,113.0,
Rajasthan,2078,2751.0,2396,355.0,
Sikkim,24,,24,,0.0
Tamil Nadu,1421,3136.0,2780,356.0,
Telangana,643,1254.0,1066,188.0,
Tripura,108,0.0,119,,
Uttarakhand,257,425.0,241,184.0,16.0
Uttar Pradesh,3621,4509.0,1344,3165.0,2277.0
West Bengal,913,1268.0,1016,252.0,
Andaman & Nicobar Islands,22,42.0,34,8.0,
Chandigarh,0,0.0,0,0.0,0.0
D & N Haveli,9,15.0,8,7.0,1.0
Dadra & Nagar Haveli and Daman & Diu,4,5.0,4,1.0,0.0
Delhi,5,21.0,22,,
Lakshadweep,4,8.0,8,0.0,
Puducherry,24,38.0,46,,
All India2/Total,25743,34417.0,27567,8572.0,3673.0
